"0","9"
"0","7"
"0","13"
"0","3"
"0","11"
"0","14"
"0","19"
"0","2"
"0","6"
"0","18"
"0","6"
"0","3"
"0","7"
"0","2"
"0","8"
"0","5"
"0","6"
"0","5"
"0","17"
"0","11"
"1","17"
"1","13"
"1","16"
"1","4"
"1","17"
"1","13"
"1","5"
"1","6"
"1","7"
"1","5"
"1","5"
"1","10"
"1","8"
"1","16"
"1","20"
"1","18"
"1","7"
"1","20"
"1","9"
"1","18"
"2","17"
"2","19"
"2","8"
"2","6"
"2","5"
"2","8"
"2","10"
"2","20"
"2","16"
"2","20"
"2","1"
"2","3"
"2","12"
"2","10"
"2","17"
"2","13"
"2","9"
"2","16"
"2","16"
"2","5"
"3","13"
"3","5"
"3","5"
"3","5"
"3","19"
"3","16"
"3","8"
"3","14"
"3","20"
"3","11"
"3","14"
"3","11"
"3","18"
"3","1"
"3","2"
"3","20"
"3","6"
"3","16"
"3","7"
"3","11"
"4","19"
"4","8"
"4","10"
"4","19"
"4","12"
"4","20"
"4","15"
"4","4"
"4","13"
"4","20"
"4","13"
"4","17"
"4","11"
"4","5"
"4","3"
"4","4"
"4","18"
"4","9"
"4","8"
"4","5"
"5","11"
"5","18"
"5","16"
"5","7"
"5","15"
"5","11"
"5","17"
"5","13"
"5","9"
"5","14"
"5","17"
"5","20"
"5","15"
"5","9"
"5","13"
"5","2"
"5","16"
"5","13"
"5","14"
"5","2"
"6","4"
"6","20"
"6","15"
"6","4"
"6","8"
"6","3"
"6","11"
"6","6"
"6","9"
"6","14"
"6","8"
"6","5"
"6","19"
"6","18"
"6","6"
"6","14"
"6","15"
"6","5"
"6","17"
"6","16"
"7","12"
"7","1"
"7","13"
"7","3"
"7","20"
"7","5"
"7","2"
"7","9"
"7","14"
"7","2"
"7","5"
"7","13"
"7","12"
"7","8"
"7","13"
"7","4"
"7","9"
"7","13"
"7","5"
"7","5"
"8","10"
"8","13"
"8","19"
"8","7"
"8","13"
"8","9"
"8","6"
"8","15"
"8","1"
"8","14"
"8","18"
"8","17"
"8","9"
